1,1,1,"2014-05-24","Population structure and mating system of the Australian sea lion (Neophoca Cinerea)",,,,1
2,1,2,"2014-04-14","Phytoplankton diversity in the coastal waters of New South Wales, Australia",,,,1
3,1,3,"2007-11-4","The Sydney rock oysters (Saccostrea glomerata) immune system: Effects of immunological challenge and environmental stress",,,,1
4,1,4,"2012-05-26","Modelling elevated carbon dioxide impacts on plant competition",,,,1
5,1,5,"2012-05-26","Insights into the evolutionary relationships within the Delphininae, with focus on the Genus Delphinus:  A multi-locus, multi-disciplinary approach",,,,1
6,1,6,"2008-04-24","A proteomic study of innate immune protection in the Tammar wallaby (Macropus eugenii)",,,,1
7,1,7,"2014-05-24","Biodiversity assessment and conservation of groundwater ecosystems",,,,1
8,1,8,"2014-04-14","Genetic diversity, structure and historical demography of blue whales (Balaenoptera musculus) in the Southern Hemisphere",,,,1
9,1,9,"2013-05-25","Comparative Assessment of the Growth, Reproductive Biology and Life History Characteristics of Coexisting Coastal Flathead (Platycephalidae)",,,,1
10,1,10,"2010-04-9","The behavioural and evolutionary ecology of praying mantid mating systems",,,,1
11,1,11,"2014-05-24","Urchin mediated positive interactions",,,,1
12,1,12,"2013-05-25","The development and the evolution of brain lateralization: Using fish as model organism",,,,1
13,1,13,"2013-05-25","The role of soil biota in the invasion success of legumes in Australia",,,,1
14,1,14,"2013-05-25","Molecular ecology and conservation genetics of Mustelus (gummy shark, rig) in Australasia",,,,1
15,1,15,"2010-09-22","The effect of environmental stressors on the immune gene expression in the sea urchin Heliocidaris erythrogramma",,,,1
16,1,16,"2012-04-10","Behavioural ecology and habitat requirement of the feather legged assassin bug.",,,,1
17,1,17,"2014-04-14","Impacts of Climate Change on Freshwater Macroinvertebrates and Conservation Prioritisation",,,,1
18,1,18,"2008-05-24","The effects of environmental stress on immunological function and defence against QX disease in Sydney rock oysters (Saccostrea glomerata)",,,,1
19,1,19,"2013-09-17","The Impacts of Climate Change on Australian Reptiles",,,,1
20,1,20,"2010-09-22","Investigations into the microbiome of the Tammar wallaby (Macropus Eugenii)",,,,1
21,1,21,"2013-04-19","Ecotoxicological assessment of the impacts of a herbicide-insecticide mixture on freshwater ecosystems",,,,1
22,1,22,"2005-04-26","Enhanced Detection of Microorganisms in Autofluorescent Environments Through the Application of Time-Resolved Fluorescence Microscopy",,,,1
23,1,23,"2013-09-17","Measuring change in the sandy beach environment",,,,1
